married	806	26625366	5116910	[4161599, 2763561, 4351302, 3425585, 3451186, 3517501, 4193588, 564228, 3261244, 287754, 287252, 2974525, 4302420, 273182, 2763056, 3340329, 4040742, 4307805, 3017487, 2955278, 4221543, 285484, 4200810, 4368233, 3912458, 241712, 4221562, 484156, 1452330, 4204415, 251458, 484422, 3223667, 3262578, 232261, 4241671, 4123767, 2472046, 4241419, 2003794, 3401596, 523093, 1806153, 809051, 1597775, 1164104, 2432636, 286303, 2152316, 2432889, 4940823, 2268541, 3419220, 1796991, 4207908, 2283332, 155237, 2897988, 4752929, 287348, 1604712, 4292400, 3261762, 3218757, 4312885, 1880426, 3514178, 938868, 3103316, 294520, 523642, 2763178, 3138222, 3261874, 7556, 2763439, 4358087, 152708, 3503548, 3722161, 983685, 3019684, 2987425, 1737866, 4299219, 4233684, 1593485, 287891, 4124583, 295582, 2934711, 4296925, 484248, 2071424, 4137376, 4187546, 482720, 860330, 3885968, 2897793, 174764, 3482522, 519607, 983487, 2472084, 2171285, 3515520, 3074962, 4932087, 563893, 1426347, 926670, 3260400, 54722, 523203, 287682, 2986981, 1475039, 3705079, 1047517, 4221591, 2998005, 4630684, 4214940, 755157, 4264862, 1796347, 4932264, 4214693, 3451091, 154090, 4123607, 4221609, 4347816, 3452888, 4330415, 3430874, 483816, 3523783, 522996, 808440, 3622851, 483569, 521201, 3375301, 3504584, 4997809]
married	314	28908516	5114664	[]
married	673	27592369	5115018	[]
married	452	25992093	5114609	[]
married	332	25075244	5115217	[]
married	384	26883932	5115289	[]
private 	493	27748327	5114482	[]
private 	565	41620966	5114214	[]
private 	556	27390900	5112106	[782856, 267266, 1446815, 3000998, 1545115, 2431145, 3001279, 992665, 2113849, 2207288, 4171043, 4776661, 1797509, 3916954, 2142210, 3675802, 2027572, 2728834, 3811980, 4844286, 4963441, 8251, 1617955, 4984304, 2075743, 2399717, 160449, 2118372, 3563262, 4332683, 3270138, 4695690, 783428, 2730491, 1706702, 3702881, 3849571, 332760, 1226611, 4592804, 2164290, 2320580, 452973, 2117584, 3577414, 2206544, 1695338, 3746125, 1543394, 2429520, 774130, 1740771, 4634303, 4111299, 3669961]
private 	651	27097049	5114247	[]
private 	438	27712900	5114146	[]
private 	569	28152879	5114554	[]
fair a ho	890	27893816	5114554	[]
fair a ho	614	27131257	5114574	[]
fair a ho	604	27371726	5114395	[]
fair a ho	576	25579485	5114764	[]
fair a ho	319	24566112	5114846	[]
fair a ho	344	26335198	5114292	[]
private wi	431	25936747	5114647	[]
private wi	349	28045041	5114230	[]
private wi	468	29429313	5114401	[]
private wi	647	32969890	5113931	[]
private wi	21901	27854799	5114313	[]
private wi	629	29468180	5113840	[]
nature hath	487	26722006	5116208	[]
nature hath	703	41714911	5116362	[]
nature hath	565	26173465	5115385	[4736506, 9677]
nature hath	330	27279207	5115593	[]
nature hath	566	26378722	5115860	[]
nature hath	639	27012065	5116208	[]
fair a house	514	26287256	5114556	[]
fair a house	388	38247894	5114636	[]
fair a house	966	40425598	5114749	[]
fair a house	1120	27986017	5114209	[]
fair a house	592	27100241	5114552	[]
fair a house	410	26866478	5114491	[]
and checked e	11193	27699285	5116772	[]
and checked e	575	27033538	5117622	[]
and checked e	777	26430555	5116733	[]
and checked e	491	25930383	5116477	[]
and checked e	406	25166049	5117069	[]
and checked e	338	26467452	5116881	[]
war shall stat	332	24844818	5114366	[]
war shall stat	335	29522664	5114313	[]
war shall stat	535	25958692	5114312	[]
war shall stat	560	26318087	5114286	[]
war shall stat	486	25907318	5114502	[]
war shall stat	555	26009136	5114841	[]
see again, and 	563	28676139	5116599	[]
see again, and 	738	25817239	5115758	[]
see again, and 	484	25958977	5115891	[]
see again, and 	612	27227692	5116063	[]
see again, and 	546	26823044	5115647	[]
see again, and 	562	26075321	5116222	[]
absence of your 	347	28205874	5115743	[]
absence of your 	814	26820282	5116342	[]
absence of your 	775	27501725	5116300	[]
absence of your 	807	41520823	5116250	[]
absence of your 	579	26911336	5115894	[3082844, 1246990, 39806, 3704231]
absence of your 	701	26717102	5115743	[]
rarities of natur	588	25947983	5115579	[]
rarities of natur	420	27282076	5115793	[]
rarities of natur	553	26665127	5116048	[]
rarities of natur	447	25973522	5116087	[]
rarities of natur	447	26640696	5115617	[]
rarities of natur	398	28294586	5115961	[]
that writes of you	950	27303831	5118554	[]
that writes of you	530	27005969	5117415	[]
that writes of you	683	27971245	5117635	[]
that writes of you	873	27823035	5117689	[]
that writes of you	775	27859170	5117741	[]
that writes of you	653	28286980	5117256	[]
his spirit, by spir	638	26843323	5116522	[]
his spirit, by spir	604	28018674	5116483	[]
his spirit, by spir	782	26438124	5116380	[]
his spirit, by spir	622	40644809	5116932	[]
his spirit, by spir	765	26441579	5115893	[57478]
his spirit, by spir	584	26030501	5116376	[]
faults concealed, wh	524	27006725	5114145	[]
faults concealed, wh	523	26229121	5114345	[]
faults concealed, wh	504	25092874	5114391	[]
faults concealed, wh	382	25469633	5114898	[]
faults concealed, wh	450	28319188	5114254	[]
faults concealed, wh	699	40915851	5114811	[]
Kind is	369	25932715	5111136	[69704]
Kind is	375	25658670	5114270	[]
Kind is	308	25171759	5114028	[]
Kind is	515	26058045	5113848	[]
Kind is	1046	27266926	5113595	[]
Kind is	400	29736646	5113959	[]
In prais	531	26406424	5114104	[]
In prais	449	42266917	5113940	[]
In prais	450	26827657	5113861	[665194, 1264755, 70295, 4837412, 288251]
In prais	393	26015573	5114498	[]
In prais	362	25399415	5114294	[]
In prais	347	26126519	5114514	[]
Still con	442	26151768	5114126	[]
Still con	311	25382573	5114153	[]
Still con	315	26390101	5114174	[]
Still con	312	25142798	5114024	[]
Still con	310	25722417	5114481	[]
Still con	389	26324642	5114345	[]
Now with t	421	25900833	5114044	[]
Now with t	385	26416896	5113697	[]
Now with t	382	26080761	5113995	[]
Now with t	348	30035237	5114291	[]
Now with t	472	26556640	5113949	[]
Now with t	398	27995662	5113967	[]
That is my 	476	26879502	5113957	[]
That is my 	525	41255981	5114350	[]
That is my 	496	26359717	5114412	[1938620, 72274, 1474945, 869957, 3146777, 2228415, 926304]
That is my 	461	25865387	5114054	[]
That is my 	490	25863468	5114358	[]
That is my 	347	24796470	5113957	[]
A god in lov	441	25188880	5114288	[]
A god in lov	787	25693269	5113930	[]
A god in lov	401	28685316	5114436	[]
A god in lov	646	26397763	5114551	[]
A god in lov	362	26650132	5114560	[]
A god in lov	678	27532690	5113775	[]
Whilst like a	570	26031330	5114040	[]
Whilst like a	542	25979374	5114307	[]
Whilst like a	424	25933851	5113819	[]
Whilst like a	407	28402086	5113765	[]
Whilst like a	1065	26106240	5113930	[]
Whilst like a	407	28480205	5113977	[]
To make of mon	1081	28572137	5114737	[]
To make of mon	423	26802564	5114103	[]
To make of mon	537	28588180	5114387	[]
To make of mon	631	26487829	5113862	[]
To make of mon	522	26379572	5113983	[]
To make of mon	455	26205008	5114123	[]
But reckoning t	480	25825897	5114053	[]
But reckoning t	374	25508564	5114151	[]
But reckoning t	413	25633162	5113630	[]
But reckoning t	470	26092184	5114249	[]
But reckoning t	396	26673642	5114039	[]
But reckoning t	788	28645190	5113923	[]
It is the star t	481	27741747	5114282	[]
It is the star t	559	26986033	5114411	[]
It is the star t	666	26015826	5114322	[]
It is the star t	618	40926782	5114479	[]
It is the star t	533	25982982	5114803	[76794]
It is the star t	416	25351478	5114282	[]
To bitter sauces 	366	26140052	5113851	[]
To bitter sauces 	687	26738994	5114311	[]
To bitter sauces 	476	27694141	5114256	[]
To bitter sauces 	758	26176791	5114326	[]
To bitter sauces 	773	26534391	5114453	[]
To bitter sauces 	372	26201217	5114209	[]
For which the peop	320	26579518	5113821	[]
For which the peop	826	28663954	5113682	[]
For which the peop	587	26300977	5113722	[]
For which the peop	431	26064578	5114142	[]
For which the peop	355	25385011	5114131	[]
For which the peop	392	26804350	5113859	[]
I' th' plain way of	520	26386423	5114561	[]
I' th' plain way of	395	25416788	5114518	[]
I' th' plain way of	391	25469905	5114585	[]
I' th' plain way of	418	42169565	5114384	[]
I' th' plain way of	489	27638375	5114101	[708988]
I' th' plain way of	458	25973632	5114257	[]
Which we ourselves h	417	25014708	5114460	[]
Which we ourselves h	342	25141506	5113732	[]
Which we ourselves h	324	26545652	5114181	[]
Which we ourselves h	516	25939816	5113865	[]
Which we ourselves h	518	25398810	5113779	[]
Which we ourselves h	420	38725950	5113741	[]
All cau	333	24105762	5111446	[712554, 2823928, 2755283]
All cau	300	25475719	5114640	[]
All cau	298	25347420	5114401	[]
All cau	320	24983898	5114223	[]
All cau	250	24373842	5113929	[]
All cau	269	25276436	5114344	[]
The natu	286	25813791	5114349	[]
The natu	277	39335298	5114538	[]
The natu	348	24583686	5113874	[2596215, 2913228, 2085546, 2384289, 2870045, 4754607, 1255947, 245050, 865622, 1001907, 712884, 220812]
The natu	276	25195346	5114361	[]
The natu	296	26085639	5114540	[]
The natu	477	26448296	5114888	[]
Cannot co	335	25296610	5113986	[]
Cannot co	3990	25525606	5114453	[]
Cannot co	275	26345225	5114140	[]
Cannot co	462	26385367	5114088	[]
Cannot co	462	26249233	5114000	[]
Cannot co	356	25104214	5113657	[]
Of that in	320	25835855	5113875	[]
Of that in	277	25603311	5113929	[]
Of that in	295	25922731	5114286	[]
Of that in	294	24460370	5113735	[]
Of that in	284	24409972	5114151	[]
Of that in	287	25426019	5114082	[]
Out of thy 	289	24463666	5113944	[]
Out of thy 	300	38638603	5114005	[]
Out of thy 	508	25604087	5114097	[4409223, 715165, 2172541]
Out of thy 	312	25306525	5113781	[]
Out of thy 	309	24884863	5114233	[]
